Username,User Age,User Skin Condition,Recommendation Status,Usage Period,Purchase Point,Product Brand,Product Name,Product Rating,Total Users Rated,User Review
theresiainnova_, 19 - 24,"Oily, Medium, Neutral",theresiainnova_ recommends this product!,More than 1 year,Shopee,AVOSKIN,Miraculous Refining Toner,4.4,2128,"Awal nyoba karena dulu booming banget. Awalnya mikir ""mahal"" untuk produk lokal. Tapi pas udah nyoba 1 mingguan, hasilnya keliatan wow banget, muka jd gak gampang jerawatan dan pori-pori bersih. Akhirnya beli lagi dan sampe sekarang masih pake(diselingi sm produ ... "
devilastri, 25 - 29,"Normal, Medium Light, Neutral",devilastri recommends this product!,Less than 1 week,Brand website,N'pure,Brightening Bar Soap,4.8,22,"npure bar soap varian matcha ini sangat membuat relaks tubuh dengan aromanya yang segar khas teh hijau, membuat hati dan pikiran tenang, saat pertam kali unboxing aku kira sabunnya besar, ternyata kecil, tapi sabunnya walaupun kecil ngefek di badan dan muka loh, busanya ... "
gabrielikeustef, 19 - 24,"Oily, Medium, Neutral",gabrielikeustef recommends this product!,More than 1 year,Guardian,Guardian,Cotton Facial Rounds,4.6,130,"kapas yang kucinta banget. tapi belinya pas lagi ada promo aja wkwkwk. gak gampang sobek walaupun dibagi 2 dan awet untuk 2-3 bulan, karena ukurannya bulat jadi kesannya lebih luas dari kapas umumnya dan bersihin muka lbh puas dan bisa lbh maksimal angkat kotoran di muk ... "
leonita_wenny, 25 - 29,"Combination, Medium, Warm",leonita_wenny recommends this product!,1 week - 1 month,Shopee,Raiku Beauty,Bright Radiance Serum,5,11,"ini juga fav aku banget sih, serumnya gel bening.. gak berbau, ada efek cooling sensationnya.. Kandungan niacinamide dan kakadu plum extract nya bekerja secara efektif untuk menutrisi kulit dari lapisan kulit terdalam..."
Friska22, 30 - 34,"Oily, Light, Warm",Friska22 recommends this product!,1 week - 1 month,Alfamart,Emina,Sun Protection SPF 30 PA+++,3.6,12280,"ini aku pake kalo dirumah aja ga kemana2...wangi nya jujur kek sofel jeruk haaa..aku tuh sampe nyamain wanginya,di kulit aku yg kombinasi cepat bgt yah berminyak tp lumayan lah isinya sunblock ini banyak,jadi lama habis.."
Mutia11, 30 - 34,"Combination, Medium, Neutral",Mutia11 recommends this product!,Less than 1 week,Female Daily Event,L'Oreal Paris, UV Defender Moist & Fresh,4.8,58,"UV devender moist and fresh
Menurut aku untuk yang mempunyai kulit kombinasi ataupun kulit kering ini bagus banget karena ada kandungan Hyaluronic acid yang dapat melembabkan teksturnya sendiri ringan pas di aplikasi kan ke wajah dan tidak terlalu terang dan nyaman di k ... "
edwinbartholo, 25 - 29,"Combination, Medium Dark, Neutral",edwinbartholo recommends this product!,1 month - 3 months,Tokopedia,Somethinc,Niacinamide + Moisture Sabi Beet Brightening Serum,4.6,290,"My skin types&condition: oily+combi, sensitive acneprone, hyperpigmentation, dullness. 💰💰💰= affordable. Effectiveness: beli di tokped mall 20ml yg 5%, pemakaian 1bulan sisa sedikit banget di tube. Pemakaian pagi & malam dari 5tetes jadi ke 3tetes. Why? 5 tete ... "
tsanqinr, 19 - 24,"Dry, Medium, Warm",tsanqinr recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris,UV Defender Matte & Fresh,4.8,59,"sebelum mereka upgrade jadi uv defender aku udah sering banget pake varian matte and fresh yang versi sebelumnya, karena ini termasuk andalan sun protection aku dari dulu jadi aku udah hafal performanya, menurut aku dari formulanya yang ringan jadi nyaman banget di pake ... "
pradytafr, 25 - 29,"Combination, Medium, Warm",pradytafr recommends this product!,1 week - 1 month,PR Package,L'Oreal Paris,UV Defender Bright & Clear,4.9,743,seneng banget bisa cobain varian yg ini karena ke kulit jadinya lebih cerah tapi ngga bikin whitecast juga. selain itu kandungan niacinamidenya juga bagus untuk mencerahkan dan menyamarkan noda di wajah. teksturnya lembut dan mudah di blend. harganya juga terjangkau dan ... 
juaaa13, 18 and Under,"Combination, Light, Neutral",juaaa13 recommends this product!,3 months - 6 months,Shopee,AVOSKIN,Miraculous Refining Toner,4.4,2127,"exfo toner ter nampol, walaupun sedikit ada rasa cekat cekit awal pemakaian, tapi di pemakaian uda 1 bulan cekat cekit ny ilang, ngurangin berentusan dan jerwat, awal ny takut mau nyoba karna kan kandungan ny tinggi, tapi pas di coba yg botol kecil cepet abis 😭saking c ... "
leonita_wenny, 25 - 29,"Combination, Medium, Warm",leonita_wenny recommends this product!,1 week - 1 month,Shopee,Raiku Beauty,Bright Radiance Toner,5,11,"texture nya cair watery, gak berbau dan gak perih dimuka juga sih jadi aku suka.. karna kandungannya ada niacinamide jadi ini pasti cocok di aku.. Efektif bgt buat mengangkat sisa debu dan sel kulit mati, plus bisa mencerahkan & mengurangi bekas jerawat.. salah satu ... "
pradytafr, 25 - 29,"Combination, Medium, Warm",pradytafr recommends this product!,1 week - 1 month,PR Package,L'Oreal Paris,UV Defender Correct & Protect,4.8,59,"seneng banget bisa cobain varian sunscreen yg correct and protect, cocok untuk kulit kombinasi dan juga yang warna kulitnya tidak merata. teksturnya juga mudah di blend dan mudah meresap. packagingnya oke banget dan harganya cukup terjangkau untuk perlindungan seperti i ... "
Mutia11, 30 - 34,"Combination, Medium, Neutral",Mutia11 recommends this product!,Less than 1 week,Female Daily Event,L'Oreal Paris,UV Defender Bright & Clear,4.9,742,"Bright &clear
Packaging nya cukup simple dan elegan dan teksturnya sendiri creamy namun mudah di aplikasikan ke wajah dan uv ini gak lengket dan cepat meresap. Aku pakai setiap 3 jam sekali untuk hasil yang maksimal, untuk kulit kusam kalian bisa pakai yang bright&a ... "
jeutasss, 25 - 29,"Dry, Light, Neutral",jeutasss recommends this product!,6 months - 1 year,Shopee,La Roche-Posay,Effaclar Sebo-Controlling Mask,4.7,14,duhh suka bangett sama ini yahh. bener bener bikin beruntusan berkurang dan cepet kering. pori pori juga mengecil dan jadi lebih cerah. tekstur nya clay putih padet. wangi nya obat obat an bangett 😂.. aku pakai max setengah jam terus bilas air hangat. hasilnya 😳
theresiainnova_, 19 - 24,"Oily, Medium, Neutral",theresiainnova_ recommends this product!,More than 1 year,Shopee,Senka,Perfect Whip Facial Foam,4,4329,"Sejak nemu facialwash ini gapernah ganti lagi, tapi diselingi sama facialwash yg lain. Selalu repurchase kalo udh mau habis. Busanya banyak dan gak bikin kering, gak bikin ketarik, dan bersih banget. Harganya juga ramah kantong dan gampang dicari. Minimarket alfa indo u ... "
Raniarmdhani, 18 and Under,"Oily, Medium Light, Warm",Raniarmdhani recommends this product!,1 week - 1 month,Shopee,AVOSKIN,Hydrating Treatment Essence,3.9,558,"pertama kali nyoba,karna penasaran dan harganya gabegitu mehong yakkksss, jd ku belii dah tu, pertama kali make rasanya emg little bit perih gitu ya di muka sensasinya, tapi aku paksain make trs tuh soalnya kek seger aja gt ke mukaaa akuu, bisa langsung di spray bisa ma ... "
rahyang12, 30 - 34,"Oily, Medium Dark, Neutral",rahyang12 recommends this product!,Less than 1 week,PR Package,L'Oreal Paris,UV Defender Matte & Fresh,4.8,57,"Berkesempatan untuk mencoba produk sunscreen terbaru dari L'Oréal UV Defender. Ada 4 varian yang disesuaikan jenis kulit dan manfaat yang berbeda. Meskipun gue punya jenis kulit berminyak dan lapisan kulit yang cukup tebal, tetapi gue coba semua apakah klaimnya sesuai a ... "
rahyang12, 30 - 34,"Oily, Medium Dark, Neutral",rahyang12 recommends this product!,Less than 1 week,PR Package,L'Oreal Paris,UV Defender Correct & Protect,4.8,55,"Berkesempatan untuk mencoba produk sunscreen terbaru dari L'Oréal UV Defender. Ada 4 varian yang disesuaikan jenis kulit dan manfaat yang berbeda. Meskipun gue punya jenis kulit berminyak dan lapisan kulit yang cukup tebal, tetapi gue coba semua apakah klaimnya sesuai a ... "
theresiainnova_, 19 - 24,"Oily, Medium, Neutral",theresiainnova_ recommends this product!,More than 1 year,Watson,Cetaphil,Gentle Skin Cleanser,4.1,12363,"Udah repurchase berkali-kali. Facewash yang tidak berbusa tapi ""gentle"" seperti klaimnya. Nggak bikin muka ketarik dan yang terpenting bersih banget, dan nggak bikin iritasi. Untuk yang punya wajah berjerawat Cetaphil ini bisa dicoba. Dengan harga segitu sesuai  ... "
rahyang12, 30 - 34,"Oily, Medium Dark, Neutral",rahyang12 recommends this product!,Less than 1 week,PR Package,L'Oreal Paris,UV Defender Bright & Clear,4.9,741,"Berkesempatan untuk mencoba produk sunscreen terbaru dari L'Oréal UV Defender. Ada 4 varian yang disesuaikan jenis kulit dan manfaat yang berbeda. Meskipun gue punya jenis kulit berminyak dan lapisan kulit yang cukup tebal, tetapi gue coba semua apakah klaimnya sesuai a ... "
salsabilatfk, 19 - 24,"Normal, Medium Light, Neutral",salsabilatfk recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris,UV Defender Matte & Fresh,4.8,56,"sudah pernah pakai ini dan ternyata cocok banget padahal kulitku ga berminyak. hasilnya matte dan ringan di kulit, tidak ada whitecast. packagingnya kecil jadi mudah dibawa kemana aja. tutupnya juga rapat jadi produk tidak mudah tumpah."
pradytafr, 25 - 29,"Combination, Medium, Warm",pradytafr recommends this product!,1 week - 1 month,PR Package,L'Oreal Paris,UV Defender Matte & Fresh,4.8,58,"reformulasi baru dari loreal sunscreen. suka banget sama sunscreen ini karena teksturnya lembab dan bener bener nahan minyak di area dagu dan hidungku yg sering berminyak. setelah pemakaian 3-4 jam pun masih oke di kulitku. teksturnya ringan dan mudah meresap, packaging ... "
edwinbartholo, 25 - 29,"Combination, Medium Dark, Neutral",edwinbartholo recommends this product!,1 week - 1 month,Tokopedia,Somethinc,HYALuronic B5,4.5,922,"My skin types&condition: oily combi+sensitive acne prone, dullness, hyperpigmentation. 💰💰💰= okaylah affordable👍🏼 Effect di kulit gw= well iseng beli ini buat cobain “perlu ga sih hydrating serum di routine gw” dan kebetulan penasaran dari brand Somethinc karena ... "
mimiaffandi_e, 30 - 34,"Dry, Medium, Warm",mimiaffandi_e recommends this product!,Less than 1 week,PR Package,L'Oreal Paris,UV Defender Matte & Fresh,4.8,55,"Ini L'oreal UV Defender strip toska (matre and fresh). Mengandung airlicium yang berfungsi untuk menyerap minyak. Yup, ini ditujukan untuk kulit oily. Tapi yang bikin aku heran, meski diklaim matte, tapi di kulit kering aku dia tetep nyaman-nyaman aja. Maksudku nggak bi ... "
VCJA_VRV, 18 and Under,"Normal, Medium Light, Cool",VCJA_VRV recommends this product!,Less than 1 week,Instagram,Azarine Cosmetics,C White Lightening Serum,4.6,732,"Sukaa bgttttttttt samaaaa serummmm nyaaaa, mantull parahhh sihhhhg hasil nyaaaaa, cocok juga di kulitku ya sensitiveee, gimana gkkkk kan azarine bahan bahan yg digunakan alami, jadi pasti nya cocok utk smia jenisssssss kulitttttttttt"
jeutasss, 25 - 29,"Dry, Light, Neutral",jeutasss recommends this product!,1 month - 3 months,Sephora,La Roche-Posay,Effaclar Purifying Cleanser Gel,4,6,"setelah cocok banget sama mask nya akhirnya aku beli ini. tekstur nya ringal banget, jelly jelly bening. dia baguss untuk sensitive skin kayak aku dan gak ada efek ketarik setelah cuci muka..rasanya bersiih banget bebas dari minyak dan jerawat cepet kering.hehe"
salsabilatfk, 19 - 24,"Normal, Medium Light, Neutral",salsabilatfk recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris,UV Defender Bright & Clear,4.9,740,"sesuai claim ini emang cocok untuk kulit normal. hasilnya ga matte dan ga berminyak, just fine. kalau di aku ada efek mencerahkan tapi ga menimbulkan whitecast. packagingnya kecil jadi mudah dibawa kemana aja. tutupnya juga rapat jadi produk tidak mudah tumpah."
salsabilatfk, 19 - 24,"Normal, Medium Light, Neutral",salsabilatfk recommends this product!,Less than 1 week,PR Package,L'Oreal Paris,UV Defender Correct & Protect,4.8,58,"tetap cocok dipakai untuk aku yang kulit normal. hasil akhir ga matte dan ga berminyak, just fine dan ga ada whitecast. untuk yang kulit kombinasi mungkin lebih cocok. packagingnya kecil jadi mudah dibawa kemana aja. tutupnya juga rapat jadi produk tidak mudah tumpah."
uniimala, 30 - 34,"Combination, Medium Light, Neutral",uniimala recommends this product!,Less than 1 week,Female Daily Event,L'Oreal Paris,UV Defender Correct & Protect,4.8,57,"Varian Correct & Protect ini bisa dibilang semacam tinted sunscreen karena bisa meratakan warna kulit juga loh. Bertekstur cream dengan warna beige, cepat menyerap, dan tidak lengket. Diperkaya dengan kandungan Vitamin CG, SPF50, PA++++ dan Long UVA. Desain kemasann ... "
tsanqinr, 19 - 24,"Dry, Medium, Warm",tsanqinr recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris,UV Defender Correct & Protect,4.8,56,"pertama kali keluarin produk dari botolnya agak kaget kenapa berwarna agak kaya foundation gitu, awalnya kirain aku bakalan ngasih tint ke wajahnya tapi ternyata engga. kalau tanpa ngeliat komposisinya sih kurang ada yang spesial dari varian yang satu ini karena setelah ... "
lailaindra, 25 - 29,"Dry, Medium Light, Neutral",lailaindra recommends this product!,Less than 1 week,Shopee,Some by Mi,Snail Truecica Miracle Repair Serum,4,2569,"Beberapa temen rekomen ini untuk ngilangin bopeng. Setelah pakai 3x ternyata malah muncul bruntusan kecil di sekitar pipi. Kalau ada yg minat aku mau preloved 95k aja (beli di shopee 140k). Original, udah cek di hidden tagnya. Minat WA 081249782476"
pradytafr, 25 - 29,"Combination, Medium, Warm",pradytafr recommends this product!,1 week - 1 month,PR Package,L'Oreal Paris, UV Defender Moist & Fresh,4.8,57,"benerr bener moist di kulitku yg kombinasi, mungkin karena kandungan dari hyaluronic acidnya yg bikin kulit kerasa lebih lembab dan sehat, selain itu juga teksturnya ringan, mudah di blend, mudah meresap dan kualitasnya oke. dari segi harga pun cukup terjangkau.repurcha ... "
salsabilatfk, 19 - 24,"Normal, Medium Light, Neutral",salsabilatfk recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris, UV Defender Moist & Fresh,4.8,56,varian yang ternyata ga cocok di aku tapi mungkin bakal cocok sama yang tipe kulitnya kering. hasil akhirnya dewy banget tapi ga ada whitecast. packagingnya kecil jadi mudah dibawa kemana aja. tutupnya juga rapat jadi produk tidak mudah tumpah.
mirapermatasp, 19 - 24,"Normal, Medium Light, Neutral",mirapermatasp recommends this product!,Less than 1 week,Instagram,Somethinc,Low pH Gentle Jelly Cleanser,4.9,26,"AAAAA seneng banget nemu produk yang gak bikin kulit ketarik pas abis cuci muka. Jujur susah banget cari sabun muka yang after makenya nggak ketarik, paling nemu cuman kurang, disituasi tertentu masih kerasa ketarik dan nggak enak banget apa lgi klo lgi dingin pasti ker ... "
rahyang12, 30 - 34,"Oily, Medium Dark, Neutral",rahyang12 recommends this product!,Less than 1 week,PR Package,L'Oreal Paris, UV Defender Moist & Fresh,4.8,55,"Berkesempatan untuk mencoba produk sunscreen terbaru dari L'Oréal UV Defender. Ada 4 varian yang disesuaikan jenis kulit dan manfaat yang berbeda. Meskipun gue punya jenis kulit berminyak dan lapisan kulit yang cukup tebal, tetapi gue coba semua apakah klaimnya sesuai a ... "
jeutasss, 25 - 29,"Dry, Light, Neutral",jeutasss recommends this product!,3 months - 6 months,Watson,Herbal Essences,Herbal Essences Bio Renew,4.2,17,"aku selalu penasaran sama shampoo yang ada tulisan smooth nya dan emang aku lagi cari yang bikin lembut rambut. wangi nya ini soft bangeet dan setelah keramas tuh rambut jadi enteng, lembut dan lembab. walaupun wangi nya gak tahan lama sihh."
Zhrmuthia,19 - 24,,Zhrmuthia recommends this product!,1 month - 3 months,Shopee,ELFormula,ELFORMULA 28 Days Acne Relief Repairing Solution,4.1,104,"Seneng banget bisa tau Elformula Acne, bener-bener jadi penyelamat muka aku yang acne prone skin. Selama pandemi ini, aku nemuin masalah baru di jerawat dibagian rahang dan jadi sensitif sama produk yang ngga fungal acne safe :( aku sempet trial and error sama beberapa  ... "
trrm17, 25 - 29,"Combination, Medium, Warm",trrm17 doesn't recommend this product!,1 month - 3 months,Official Brand Store,LUSH,Jelly Mask,3.9,14,"Ahahaha iseng banget pas beli ini bener2 cuma nyoba karena penasaran sama produknya. Waktu beli bener2 Lush baru ngeluarin yg jelly version jujur agak bingung waktu mau apply dimuka lol tapi kalo dibanding mask yg lain, aku prefer bukan yg jelly ini "
veroniccasw, 25 - 29,"Combination, Medium, Neutral",veroniccasw recommends this product!,1 week - 1 month,Gift,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,578,"Ini sunscreen ringan banget sih, di kulit aku yang berjerawat ini cocok banget gak bikin kulit berminyak dan gak bikin komedo tambah banyak. Aku apply di tangan juga dan ga bikin lengket, langsung meresap"
mrs.ri24, 25 - 29,"Oily, Medium Light, Neutral",mrs.ri24 recommends this product!,3 months - 6 months,Shopee,Make Over,Powerstay Weightless Liquid Foundation,4.5,71,"as always produknya make over selalu bagus, foundi ini ringan banget di wajah, gampang di blend, medium coverage, gak comedogenic, finish nya semi matte menurut aku di kulit oily masih butuh loose powder, ketahanan nya lumayan bagus, tp gak transferproof"
